BSBG05D,BSBG04,BSBG13E,BSBG13D,BSBG14A,BSBM16A,BSBM17D,BSBM18C,BSBM20E,BSBM20I,mean_PV
Yes,None or very few (0–10 books),Agree a little,Disagree a lot,A few times a year,Agree a lot,Disagree a lot,Every or almost every lesson,Agree a little,Agree a little,372.17079600000005
Yes,None or very few (0–10 books),Agree a lot,Disagree a lot,A few times a year,Agree a little,Agree a little,Some lessons,Agree a lot,Agree a lot,346.791706
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Once or twice a month,Agree a little,Agree a lot,About half the lessons,Agree a lot,Agree a lot,398.741854
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,360.955116
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,441.95265200000006
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,377.41913000000005
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,384.554816
Yes,None or very few (0–10 books),Agree a little,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a little,Agree a lot,374.97674400000005
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,468.7860480000001
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,314.614216
Yes,None or very few (0–10 books),Agree a little,Agree a little,Never,Disagree a little,Agree a little,About half the lessons,Disagree a little,Agree a little,375.068226
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a little,Every or almost every lesson,Agree a lot,Agree a little,371.938816
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Disagree a lot,Agree a lot,381.251974
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a little,Some lessons,Agree a little,Agree a lot,327.93540599999994
Yes,None or very few (0–10 books),Disagree a lot,Agree a little,A few times a year,Disagree a lot,Disagree a lot,Never,Disagree a lot,Agree a lot,437.784548
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,355.727326
No,None or very few (0–10 books),Agree a lot,Agree a little,Never,Agree a little,Agree a lot,About half the lessons,Agree a lot,Agree a little,335.91422
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Disagree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Disagree a little,Agree a lot,389.703498
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Disagree a little,Never,Agree a lot,Disagree a little,About half the lessons,Agree a little,Agree a lot,478.2863180000001
No,None or very few (0–10 books),Agree a little,Disagree a little,At least once a week,Agree a little,Agree a lot,About half the lessons,Agree a little,Agree a lot,412.633058
Yes,None or very few (0–10 books),Agree a lot,Agree a little,At least once a week,Disagree a little,Agree a lot,About half the lessons,Agree a lot,Agree a lot,381.973386
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a lot,Never,Agree a little,Agree a lot,About half the lessons,Agree a lot,Agree a lot,323.352524
Yes,None or very few (0–10 books),Agree a little,Agree a little,A few times a year,Agree a little,Agree a little,About half the lessons,Disagree a lot,Agree a little,381.304222
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,At least once a week,Agree a little,Agree a little,Never,Agree a little,Agree a little,352.477442
No,None or very few (0–10 books),Agree a little,Agree a lot,Never,Disagree a little,Disagree a lot,Never,Disagree a lot,Disagree a lot,242.408502
Yes,Enough to fill one shelf (11–25 books),Agree a little,Disagree a little,Never,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,405.341386
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,464.879992
No,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,A few times a year,Agree a lot,Agree a little,About half the lessons,Agree a lot,Agree a lot,502.262072
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Disagree a lot,At least once a week,Agree a little,Disagree a lot,About half the lessons,Agree a little,Agree a lot,336.251582
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a little,Never,Agree a little,Agree a lot,489.638414
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,At least once a week,Agree a little,Agree a lot,About half the lessons,Disagree a little,Agree a lot,351.765872
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,518.480506
