BSBG05D,BSBG04,BSBG13E,BSBG13D,BSBG14A,BSBM16A,BSBM17D,BSBM18C,BSBM20E,BSBM20I,mean_PV
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Disagree a little,A few times a year,Disagree a lot,Agree a little,About half the lessons,Agree a little,Agree a lot,344.68899200000004
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,507.210956
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,About half the lessons,Agree a little,Agree a lot,432.304766
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,536.7760940000001
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,A few times a year,Agree a lot,Agree a lot,Every or almost every lesson,Agree a little,Agree a lot,479.494482
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,At least once a week,Agree a lot,Agree a lot,Some lessons,Agree a little,Agree a lot,431.92437600000005
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a little,Disagree a lot,Every or almost every lesson,Disagree a lot,Agree a little,493.555218
No,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,476.0789940000001
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Disagree a little,Agree a little,Some lessons,Agree a little,Agree a little,404.21710999999993
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a little,Agree a lot,521.9158380000001
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,393.4128079999999
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,About half the lessons,Agree a little,Agree a lot,440.5148
Yes,None or very few (0–10 books),Agree a little,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a little,Agree a little,443.13970200000006
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,460.93106
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Some lessons,Agree a lot,Agree a lot,412.337172
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,343.71445800000004
No,Enough to fill one shelf (11–25 books),Agree a little,Agree a lot,A few times a year,Agree a little,Disagree a little,Never,Agree a little,Disagree a lot,386.836168
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a little,Agree a little,512.875456
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Disagree a little,Agree a lot,508.532978
No,None or very few (0–10 books),Disagree a little,Agree a little,Once or twice a month,Disagree a little,Agree a lot,About half the lessons,Agree a little,Agree a lot,507.045916
Yes,None or very few (0–10 books),Agree a lot,Agree a little,A few times a year,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,434.080318
Yes,Enough to fill one shelf (11–25 books),Agree a little,Disagree a little,At least once a week,Agree a little,Agree a lot,Never,Agree a little,Agree a lot,410.505902
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a lot,Once or twice a month,Agree a little,Agree a lot,Some lessons,Disagree a little,Agree a lot,525.961044
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,At least once a week,Agree a little,Agree a little,About half the lessons,Disagree a lot,Agree a little,372.616676
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,411.304972
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,422.134236
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,413.192424
Yes,None or very few (0–10 books),Disagree a lot,Agree a little,Never,Agree a little,Agree a little,Every or almost every lesson,Agree a lot,Agree a lot,294.54067999999995
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,264.489332
No,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,Never,Agree a little,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,421.0906020000001
Yes,None or very few (0–10 books),Disagree a lot,Agree a little,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,368.798362
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,419.1411260000001
Yes,Enough to fill one bookcase (26–100 books),Agree a little,Agree a lot,Never,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,377.747572
Yes,None or very few (0–10 books),Agree a little,Agree a lot,Never,Disagree a little,Agree a lot,Never,Agree a little,Agree a little,354.52902400000005
Yes,Enough to fill one bookcase (26–100 books),Disagree a lot,Disagree a little,At least once a week,Agree a lot,Disagree a little,About half the lessons,Agree a little,Agree a little,396.471586
Yes,None or very few (0–10 books),Agree a little,Agree a lot,Once or twice a month,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a little,327.087086
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,400.838364
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a little,About half the lessons,Agree a lot,Agree a lot,384.330278
Yes,None or very few (0–10 books),Disagree a little,Agree a lot,Never,Agree a lot,Agree a lot,About half the lessons,Agree a little,Agree a lot,434.18603600000006
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Once or twice a month,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,309.864178
No,Enough to fill one bookcase (26–100 books),Agree a little,Disagree a little,Never,Disagree a little,Agree a lot,About half the lessons,Disagree a lot,Agree a little,404.355816
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,328.895296
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a little,Some lessons,Agree a lot,Agree a lot,344.398096
Yes,Enough to fill one bookcase (26–100 books),Disagree a little,Agree a lot,Never,Agree a little,Agree a lot,Some lessons,Agree a lot,Agree a lot,332.858004
Yes,Enough to fill one bookcase (26–100 books),Agree a little,Agree a little,Never,Agree a lot,Agree a little,About half the lessons,Agree a little,Agree a lot,495.68189
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Disagree a lot,Never,Agree a lot,Agree a lot,302.07473
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Never,Agree a little,Agree a little,Never,Agree a lot,Agree a lot,385.996404
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Never,Agree a lot,Agree a lot,330.391868
No,None or very few (0–10 books),Agree a lot,Agree a lot,Once or twice a month,Agree a little,Agree a lot,Some lessons,Disagree a little,Agree a little,282.92068199999994
No,None or very few (0–10 books),Agree a lot,Agree a little,Never,Disagree a little,Agree a lot,Some lessons,Agree a lot,Agree a little,395.881738
No,None or very few (0–10 books),Agree a lot,Disagree a little,Never,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,377.567964
No,None or very few (0–10 books),Agree a lot,Disagree a little,Never,Agree a little,Agree a lot,Some lessons,Agree a lot,Agree a lot,355.24005
No,None or very few (0–10 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,459.901472
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,426.972892
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Never,Agree a little,Agree a little,403.549658
No,Enough to fill one bookcase (26–100 books),Agree a little,Agree a little,Never,Agree a little,Agree a little,About half the lessons,Agree a little,Agree a lot,355.24099599999994
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,487.150936
No,Enough to fill two bookcases (101–200 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,502.15559200000007
No,Enough to fill two bookcases (101–200 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,400.41531
Yes,None or very few (0–10 books),Agree a little,Agree a lot,A few times a year,Agree a little,Agree a lot,About half the lessons,Agree a little,Agree a lot,416.087368
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a little,Agree a little,335.616726
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,At least once a week,Agree a little,Agree a lot,About half the lessons,Agree a lot,Agree a lot,332.080206
No,None or very few (0–10 books),Agree a lot,Agree a little,Once or twice a month,Agree a little,Agree a little,Every or almost every lesson,Agree a little,Agree a little,306.779354
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a little,At least once a week,Agree a little,Agree a lot,Some lessons,Agree a lot,Agree a lot,355.4648
No,None or very few (0–10 books),Disagree a lot,Disagree a little,A few times a year,Disagree a lot,Disagree a little,Never,Disagree a lot,Disagree a lot,430.277772
Yes,None or very few (0–10 books),Disagree a lot,Agree a little,Never,Disagree a little,Agree a little,Every or almost every lesson,Disagree a lot,Disagree a lot,375.25261000000006
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Disagree a little,Agree a little,Every or almost every lesson,Disagree a lot,Disagree a lot,344.835198
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,At least once a week,Agree a little,Agree a lot,Some lessons,Agree a little,Agree a lot,373.640376
No,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Disagree a little,354.691116
No,None or very few (0–10 books),Agree a little,Agree a little,Never,Agree a little,Agree a little,Some lessons,Agree a lot,Agree a lot,378.309314
No,None or very few (0–10 books),Disagree a little,Disagree a lot,Never,Disagree a lot,Disagree a lot,About half the lessons,Disagree a lot,Disagree a little,306.628116
No,None or very few (0–10 books),Disagree a lot,Disagree a lot,Never,Disagree a little,Agree a lot,About half the lessons,Disagree a lot,Disagree a lot,374.55876
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Every or almost every lesson,Agree a little,Agree a lot,324.913546
Yes,None or very few (0–10 books),Disagree a lot,Disagree a lot,Never,Agree a lot,Disagree a lot,Never,Disagree a little,Disagree a little,318.37969000000004
No,None or very few (0–10 books),Agree a little,Agree a little,Once or twice a month,Agree a lot,Agree a little,Never,Agree a little,Agree a little,328.796016
Yes,None or very few (0–10 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,364.213712
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a little,Agree a lot,359.954906
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,379.817652
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Disagree a little,Agree a lot,311.1415
Yes,None or very few (0–10 books),Disagree a lot,Agree a little,Never,Agree a little,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,326.455568
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Disagree a lot,Every or almost every lesson,Agree a lot,Disagree a lot,329.995192
Yes,Enough to fill one shelf (11–25 books),Disagree a lot,Agree a lot,Once or twice a month,Agree a little,Agree a little,Never,Disagree a lot,Agree a lot,322.338912
No,None or very few (0–10 books),Disagree a lot,Agree a lot,At least once a week,Disagree a lot,Disagree a lot,Every or almost every lesson,Disagree a lot,Agree a lot,328.93488
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a little,A few times a year,Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,484.857724
Yes,Enough to fill three or more bookcases (more than 200),Disagree a lot,Agree a little,Never,Disagree a little,Disagree a little,Some lessons,Disagree a lot,Agree a lot,370.018904
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,380.165812
Yes,None or very few (0–10 books),Agree a lot,Disagree a lot,Never,Disagree a lot,Agree a lot,About half the lessons,Disagree a little,Agree a little,331.739518
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Never,Disagree a lot,Disagree a lot,About half the lessons,Disagree a lot,Disagree a little,346.773836
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Disagree a lot,Agree a lot,377.836238
No,Enough to fill two bookcases (101–200 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Disagree a little,Never,Agree a lot,Agree a lot,390.97570800000005
Yes,Enough to fill two bookcases (101–200 books),Agree a little,Agree a lot,Never,Disagree a little,Agree a little,About half the lessons,Disagree a little,Agree a lot,427.800396
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,415.95722000000006
Yes,None or very few (0–10 books),Disagree a little,Disagree a lot,At least once a week,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,386.95788
No,Enough to fill one bookcase (26–100 books),Agree a little,Agree a little,At least once a week,Disagree a lot,Disagree a little,About half the lessons,Agree a little,Agree a little,357.72927
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,Never,Agree a lot,Agree a little,Every or almost every lesson,Agree a lot,Agree a lot,381.426242
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,At least once a week,Disagree a little,Disagree a little,Some lessons,Disagree a lot,Disagree a little,358.291644
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Never,Agree a little,Agree a lot,336.827488
No,Enough to fill one shelf (11–25 books),Agree a lot,Disagree a little,Once or twice a month,Disagree a lot,Disagree a lot,Never,Disagree a little,Agree a lot,314.694482
Yes,Enough to fill one shelf (11–25 books),Disagree a little,Agree a lot,Once or twice a month,Agree a lot,Agree a lot,Some lessons,Disagree a little,Agree a lot,333.60345399999994
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a little,Agree a lot,372.867944
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a lot,Never,Agree a little,Agree a little,Some lessons,Agree a lot,Agree a lot,358.072666
Yes,None or very few (0–10 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,421.59327
Yes,Enough to fill one bookcase (26–100 books),Agree a little,Agree a lot,At least once a week,Agree a little,Agree a little,About half the lessons,Disagree a little,Agree a little,457.249476
Yes,Enough to fill three or more bookcases (more than 200),Disagree a lot,Disagree a little,At least once a week,Agree a little,Disagree a lot,Every or almost every lesson,Agree a lot,Agree a little,540.211574
Yes,None or very few (0–10 books),Agree a lot,Agree a little,Never,Disagree a lot,Disagree a lot,About half the lessons,Agree a lot,Agree a lot,401.555224
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,About half the lessons,Agree a little,Agree a lot,354.668102
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,About half the lessons,Agree a little,Agree a lot,447.209106
Yes,None or very few (0–10 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,466.71172400000006
Yes,Enough to fill three or more bookcases (more than 200),Agree a little,Agree a lot,Never,Agree a lot,Agree a little,Some lessons,Agree a lot,Agree a lot,545.2890279999999
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,431.978406
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a little,Never,Agree a lot,Agree a lot,460.36831
Yes,Enough to fill two bookcases (101–200 books),Agree a little,Agree a little,Never,Agree a little,Disagree a little,Some lessons,Agree a lot,Agree a lot,552.331236
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,Never,Agree a little,Agree a little,Some lessons,Agree a little,Agree a little,405.64104800000007
Yes,Enough to fill one bookcase (26–100 books),Disagree a little,Disagree a little,Never,Agree a little,Agree a little,About half the lessons,Disagree a lot,Disagree a little,455.908014
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,At least once a week,Disagree a little,Disagree a lot,Never,Agree a lot,Agree a lot,372.269284
Yes,Enough to fill one bookcase (26–100 books),Agree a little,Agree a little,At least once a week,Agree a little,Agree a lot,Every or almost every lesson,Agree a little,Disagree a little,446.220188
Yes,Enough to fill three or more bookcases (more than 200),Agree a little,Agree a lot,A few times a year,Agree a lot,Agree a little,Some lessons,Agree a lot,Agree a lot,627.092576
Yes,Enough to fill one shelf (11–25 books),Disagree a little,Agree a lot,A few times a year,Agree a lot,Disagree a little,Some lessons,Agree a lot,Agree a lot,454.6993000000001
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,Never,Agree a little,Disagree a little,Every or almost every lesson,Agree a lot,Agree a lot,476.995892
Yes,Enough to fill two bookcases (101–200 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,551.5599300000001
Yes,Enough to fill two bookcases (101–200 books),Agree a lot,Agree a lot,Once or twice a month,Agree a lot,Agree a little,About half the lessons,Agree a little,Agree a lot,429.5832979999999
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,464.974842
Yes,Enough to fill one bookcase (26–100 books),Disagree a little,Disagree a little,At least once a week,Agree a little,Disagree a little,About half the lessons,Disagree a little,Agree a lot,399.35703
Yes,Enough to fill one bookcase (26–100 books),Agree a little,Disagree a lot,Never,Agree a little,Disagree a lot,About half the lessons,Agree a little,Agree a lot,472.716932
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,A few times a year,Agree a little,Agree a lot,Some lessons,Agree a lot,Agree a lot,431.621338
Yes,Enough to fill three or more bookcases (more than 200),Agree a little,Disagree a little,A few times a year,Agree a little,Agree a little,About half the lessons,Disagree a little,Disagree a little,444.917566
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a lot,Never,Agree a little,Agree a little,Never,Agree a lot,Agree a lot,328.558218
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,457.890748
Yes,None or very few (0–10 books),Agree a lot,Agree a little,Never,Disagree a little,Agree a little,Every or almost every lesson,Agree a lot,Agree a lot,392.410668
No,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Agree a little,Disagree a little,Every or almost every lesson,Disagree a little,Agree a little,385.220198
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Never,Disagree a lot,Agree a lot,Some lessons,Disagree a lot,Disagree a lot,356.124092
Yes,None or very few (0–10 books),Agree a little,Agree a little,Never,Disagree a little,Agree a little,Some lessons,Agree a little,Agree a lot,317.401168
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Never,Disagree a little,Agree a little,About half the lessons,Agree a little,Disagree a lot,363.57341
Yes,None or very few (0–10 books),Agree a little,Agree a little,Never,Disagree a little,Disagree a lot,Some lessons,Agree a little,Agree a lot,409.082606
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,363.232534
No,None or very few (0–10 books),Agree a lot,Agree a little,Never,Agree a little,Agree a little,About half the lessons,Disagree a lot,Agree a little,353.802136
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,339.421386
Yes,None or very few (0–10 books),Agree a little,Disagree a little,Never,Agree a lot,Disagree a little,About half the lessons,Agree a little,Agree a lot,381.841426
Yes,None or very few (0–10 books),Agree a little,Agree a lot,A few times a year,Disagree a little,Disagree a little,About half the lessons,Disagree a little,Agree a little,448.3064539999999
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,A few times a year,Agree a little,Disagree a little,Every or almost every lesson,Disagree a little,Agree a lot,449.133474
Yes,Enough to fill two bookcases (101–200 books),Agree a little,Disagree a little,Never,Agree a lot,Disagree a lot,About half the lessons,Disagree a little,Agree a little,389.498342
Yes,Enough to fill two bookcases (101–200 books),Disagree a little,Disagree a little,Never,Agree a lot,Agree a little,Every or almost every lesson,Agree a lot,Disagree a little,330.384402
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Disagree a little,About half the lessons,Disagree a little,Agree a little,414.704214
Yes,Enough to fill one bookcase (26–100 books),Agree a little,Disagree a little,A few times a year,Agree a little,Disagree a little,Every or almost every lesson,Agree a lot,Agree a lot,422.7259379999999
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Disagree a little,Every or almost every lesson,Agree a little,Agree a lot,467.2604500000001
No,None or very few (0–10 books),Disagree a little,Agree a little,Never,Disagree a little,Disagree a little,Some lessons,Disagree a little,Agree a little,368.367502
Yes,None or very few (0–10 books),Agree a lot,Agree a little,Never,Agree a little,Disagree a little,About half the lessons,Disagree a little,Agree a lot,446.74627
Yes,None or very few (0–10 books),Agree a lot,Agree a little,Never,Disagree a little,Disagree a little,Never,Agree a little,Agree a little,387.36381599999993
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,446.124496
Yes,Enough to fill one shelf (11–25 books),Disagree a little,Disagree a little,A few times a year,Disagree a lot,Disagree a lot,Never,Disagree a lot,Disagree a lot,360.61598
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Never,Disagree a lot,Disagree a little,358.647658
No,None or very few (0–10 books),Agree a lot,Agree a little,Never,Agree a little,Disagree a lot,About half the lessons,Agree a little,Agree a little,334.594998
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Disagree a lot,Disagree a little,Every or almost every lesson,Disagree a lot,Disagree a little,407.641532
Yes,Enough to fill one bookcase (26–100 books),Disagree a little,Agree a little,A few times a year,Disagree a little,Disagree a lot,Some lessons,Disagree a little,Disagree a lot,383.638812
Yes,None or very few (0–10 books),Agree a lot,Disagree a lot,Once or twice a month,Agree a little,Disagree a little,Every or almost every lesson,Agree a lot,Agree a lot,486.693186
Yes,None or very few (0–10 books),Agree a lot,Disagree a lot,A few times a year,Disagree a lot,Disagree a lot,Every or almost every lesson,Disagree a lot,Agree a lot,405.165794
Yes,None or very few (0–10 books),Agree a little,Agree a lot,A few times a year,Disagree a little,Disagree a lot,Some lessons,Disagree a little,Disagree a little,351.662606
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Disagree a lot,Never,Disagree a little,Agree a lot,267.722144
Yes,None or very few (0–10 books),Agree a lot,Agree a little,Never,Agree a little,Agree a lot,Some lessons,Agree a little,Agree a lot,437.04914
Yes,Enough to fill one bookcase (26–100 books),Agree a little,Disagree a little,Never,Agree a little,Agree a little,Some lessons,Disagree a little,Agree a lot,357.25191800000005
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Every or almost every lesson,Disagree a lot,Agree a lot,358.71185
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,436.708928
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,A few times a year,Agree a lot,Agree a little,Some lessons,Disagree a lot,Agree a lot,390.909504
No,None or very few (0–10 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,Some lessons,Disagree a little,Agree a lot,415.9869000000001
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Once or twice a month,Agree a little,Disagree a little,Some lessons,Agree a little,Agree a lot,445.847128
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Once or twice a month,Agree a lot,Agree a little,Every or almost every lesson,Agree a little,Agree a lot,419.847348
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Once or twice a month,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,353.174476
No,Enough to fill one shelf (11–25 books),Agree a lot,Disagree a lot,A few times a year,Agree a little,Agree a little,Some lessons,Disagree a lot,Agree a little,484.196586
Yes,None or very few (0–10 books),Agree a little,Disagree a little,Never,Agree a lot,Agree a lot,Every or almost every lesson,Disagree a lot,Disagree a little,357.31661599999995
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,382.00542
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Once or twice a month,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,359.868142
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a little,Agree a lot,461.3731800000001
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Once or twice a month,Agree a lot,Agree a lot,Some lessons,Agree a little,Agree a lot,478.823392
No,None or very few (0–10 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,557.547006
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,360.734628
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,447.848822
No,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,Some lessons,Agree a little,Agree a lot,438.252662
Yes,None or very few (0–10 books),Agree a little,Agree a lot,Never,Agree a little,Agree a lot,Every or almost every lesson,Disagree a lot,Agree a lot,374.61263
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,445.78007
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Once or twice a month,Agree a lot,Agree a lot,Never,Disagree a lot,Agree a lot,474.79649
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,381.679188
No,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Disagree a little,Agree a lot,Some lessons,Agree a lot,Agree a lot,406.166886
No,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,410.6148139999999
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,496.151396
