BSBG05D,BSBG04,BSBG13E,BSBG13D,BSBG14A,BSBM16A,BSBM17D,BSBM18C,BSBM20E,BSBM20I,mean_PV,score_category
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,358.695554,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,About half the lessons,Agree a little,Agree a little,373.05799,1
Yes,None or very few (0–10 books),Disagree a lot,Disagree a lot,Never,Agree a lot,Agree a little,About half the lessons,Agree a little,Disagree a lot,402.50339,2
No,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Disagree a lot,Every or almost every lesson,Agree a lot,Agree a lot,349.55483000000004,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,At least once a week,Agree a little,Disagree a little,Every or almost every lesson,Agree a little,Agree a little,345.04002,1
Yes,None or very few (0–10 books),Agree a little,Agree a lot,At least once a week,Disagree a lot,Disagree a lot,About half the lessons,Disagree a little,Disagree a little,324.35683200000005,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Never,Agree a lot,Disagree a lot,Every or almost every lesson,Agree a lot,Agree a lot,437.750044,2
No,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Agree a little,Agree a little,Every or almost every lesson,Agree a little,Agree a lot,323.91999,1
No,Enough to fill one bookcase (26–100 books),Agree a lot,Disagree a lot,At least once a week,Agree a lot,Disagree a lot,Every or almost every lesson,Disagree a little,Disagree a lot,367.303142,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Disagree a lot,About half the lessons,Agree a little,Agree a lot,340.524212,1
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a little,Every or almost every lesson,Disagree a little,Disagree a little,378.062304,1
Yes,None or very few (0–10 books),Agree a lot,Disagree a lot,Never,Disagree a lot,Disagree a lot,Never,Disagree a lot,Disagree a lot,362.543644,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a little,Some lessons,Agree a lot,Agree a lot,400.977532,2
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,327.339398,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,410.70084,2
No,None or very few (0–10 books),Agree a lot,Disagree a lot,Never,Disagree a lot,Disagree a lot,Never,Disagree a lot,Disagree a lot,348.26299,1
Yes,None or very few (0–10 books),Disagree a little,Disagree a lot,At least once a week,Disagree a lot,Disagree a lot,Never,Disagree a lot,Disagree a lot,400.989474,2
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Disagree a little,Disagree a lot,Never,Agree a lot,Agree a lot,343.21415399999995,1
No,None or very few (0–10 books),Agree a lot,Agree a little,Never,Disagree a lot,Disagree a lot,Never,Disagree a little,Agree a lot,379.863502,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a little,Some lessons,Agree a lot,Agree a lot,363.065476,1
No,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a little,Every or almost every lesson,Agree a lot,Agree a little,416.275862,2
No,None or very few (0–10 books),Disagree a little,Disagree a lot,A few times a year,Disagree a little,Disagree a little,Every or almost every lesson,Agree a little,Agree a lot,367.034124,1
No,None or very few (0–10 books),Disagree a lot,Disagree a lot,Never,Disagree a lot,Disagree a lot,Never,Agree a little,Agree a lot,343.44092600000005,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,407.767928,2
No,None or very few (0–10 books),Disagree a little,Disagree a lot,Once or twice a month,Agree a little,Disagree a lot,About half the lessons,Agree a lot,Disagree a lot,390.34018,1
Yes,None or very few (0–10 books),Agree a little,Disagree a little,Once or twice a month,Disagree a lot,Disagree a lot,Every or almost every lesson,Disagree a lot,Disagree a lot,368.457412,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Disagree a lot,Some lessons,Agree a lot,Agree a lot,367.9874,1
No,None or very few (0–10 books),Agree a lot,Agree a little,Never,Agree a little,Agree a little,Never,Agree a lot,Agree a lot,366.674396,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,At least once a week,Disagree a lot,Disagree a little,Every or almost every lesson,Agree a lot,Agree a lot,301.48485,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,A few times a year,Agree a little,Agree a little,Some lessons,Agree a little,Agree a little,387.891696,1
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a little,Every or almost every lesson,Agree a lot,Agree a lot,355.17941,1
Yes,Enough to fill one shelf (11–25 books),Disagree a lot,Agree a lot,Never,Agree a lot,Disagree a little,Every or almost every lesson,Agree a lot,Agree a lot,477.623902,3
No,None or very few (0–10 books),Agree a little,Agree a little,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,455.11624,2
No,None or very few (0–10 books),Agree a lot,Agree a little,A few times a year,Agree a little,Agree a lot,About half the lessons,Disagree a little,Agree a lot,423.321226,2
No,None or very few (0–10 books),Disagree a little,Agree a little,Once or twice a month,Agree a lot,Agree a lot,About half the lessons,Agree a little,Agree a lot,286.072586,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,338.13983399999995,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,About half the lessons,Agree a little,Agree a lot,402.498086,2
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a little,Some lessons,Disagree a little,Agree a lot,328.018734,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Never,Agree a little,Agree a lot,371.210786,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,450.450044,2
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,440.671486,2
No,Enough to fill one bookcase (26–100 books),Disagree a lot,Agree a little,Never,Disagree a lot,Disagree a lot,Every or almost every lesson,Agree a lot,Agree a lot,362.4529799999999,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,401.47077,2
No,None or very few (0–10 books),Disagree a lot,Agree a lot,A few times a year,Agree a lot,Disagree a lot,Every or almost every lesson,Agree a lot,Agree a lot,432.48508,2
No,None or very few (0–10 books),Disagree a lot,Agree a little,Once or twice a month,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,354.412454,1
Yes,Enough to fill one shelf (11–25 books),Disagree a little,Agree a little,A few times a year,Agree a lot,Agree a little,Every or almost every lesson,Agree a little,Agree a lot,355.501894,1
Yes,Enough to fill one shelf (11–25 books),Disagree a little,Disagree a lot,Once or twice a month,Disagree a lot,Disagree a little,Every or almost every lesson,Agree a little,Agree a little,314.912106,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a little,About half the lessons,Agree a little,Agree a lot,362.538022,1
No,Enough to fill one shelf (11–25 books),Disagree a little,Agree a little,Never,Disagree a little,Disagree a lot,Every or almost every lesson,Agree a lot,Agree a lot,394.229804,1
No,None or very few (0–10 books),Agree a little,Agree a lot,A few times a year,Disagree a little,Disagree a lot,About half the lessons,Disagree a lot,Agree a little,417.336872,2
No,None or very few (0–10 books),Disagree a lot,Disagree a lot,At least once a week,Agree a little,Agree a lot,Some lessons,Agree a little,Disagree a little,311.447052,1
Yes,Enough to fill one shelf (11–25 books),Disagree a little,Agree a little,Once or twice a month,Agree a lot,Agree a lot,Every or almost every lesson,Agree a little,Agree a lot,393.633526,1
Yes,Enough to fill three or more bookcases (more than 200),Disagree a lot,Disagree a lot,A few times a year,Agree a lot,Disagree a little,Some lessons,Agree a lot,Agree a lot,360.642302,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Disagree a lot,Once or twice a month,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,448.6019540000001,2
No,None or very few (0–10 books),Agree a lot,Disagree a little,At least once a week,Agree a lot,Disagree a lot,About half the lessons,Disagree a little,Agree a lot,287.046258,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,413.337404,2
Yes,None or very few (0–10 books),Agree a little,Disagree a little,At least once a week,Disagree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,383.1414840000001,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Some lessons,Agree a little,Agree a lot,349.434472,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Once or twice a month,Agree a lot,Agree a little,Never,Agree a little,Agree a lot,427.830196,2
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,428.52596000000005,2
No,None or very few (0–10 books),Agree a little,Agree a lot,Never,Agree a lot,Agree a little,About half the lessons,Agree a little,Agree a lot,510.138136,3
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,403.162454,2
No,Enough to fill three or more bookcases (more than 200),Agree a little,Agree a little,Never,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,482.399086,3
No,None or very few (0–10 books),Disagree a little,Agree a lot,A few times a year,Disagree a little,Disagree a little,Some lessons,Disagree a little,Agree a little,308.140956,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,342.93004,1
Yes,Enough to fill one shelf (11–25 books),Agree a little,Disagree a little,At least once a week,Disagree a little,Disagree a lot,Every or almost every lesson,Disagree a lot,Disagree a little,349.420986,1
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,392.88873,1
Yes,Enough to fill two bookcases (101–200 books),Agree a little,Disagree a little,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,346.740724,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,424.15978400000006,2
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,A few times a year,Agree a little,Agree a lot,Never,Disagree a lot,Agree a lot,322.554644,1
Yes,None or very few (0–10 books),Disagree a lot,Agree a lot,Never,Agree a little,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,319.205272,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Some lessons,Disagree a lot,Disagree a little,292.858226,1
Yes,Enough to fill one bookcase (26–100 books),Disagree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,406.831444,2
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,About half the lessons,Agree a lot,Agree a little,298.98483,1
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a little,Every or almost every lesson,Disagree a little,Agree a lot,272.676984,1
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,448.67157800000007,2
No,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,Never,Agree a little,Agree a little,About half the lessons,Agree a little,Agree a little,271.599428,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Disagree a little,Agree a lot,382.715078,1
No,Enough to fill one shelf (11–25 books),Disagree a little,Agree a little,Never,Agree a little,Agree a lot,Never,Agree a little,Agree a little,276.359666,1
Yes,None or very few (0–10 books),Agree a lot,Agree a little,At least once a week,Agree a little,Agree a lot,About half the lessons,Agree a little,Agree a lot,366.34579,1
No,None or very few (0–10 books),Disagree a little,Agree a lot,At least once a week,Disagree a lot,Agree a lot,Some lessons,Disagree a lot,Agree a lot,302.748192,1
No,None or very few (0–10 books),Agree a little,Disagree a little,A few times a year,Agree a lot,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,344.009292,1
Yes,Enough to fill one shelf (11–25 books),Disagree a lot,Agree a little,A few times a year,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a little,357.02969,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,300.291754,1
No,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a little,Never,Disagree a little,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,270.34392,1
No,None or very few (0–10 books),Disagree a lot,Disagree a lot,Once or twice a month,Disagree a little,Agree a little,Some lessons,Disagree a lot,Disagree a little,329.141996,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Never,Agree a lot,Agree a lot,376.119118,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,A few times a year,Agree a little,Agree a lot,About half the lessons,Agree a little,Agree a lot,269.537082,1
No,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a little,Never,Agree a little,Agree a little,Never,Agree a lot,Agree a lot,271.81439,1
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,304.546386,1
Yes,None or very few (0–10 books),Disagree a lot,Agree a little,A few times a year,Agree a little,Agree a little,Every or almost every lesson,Agree a little,Agree a little,308.263228,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,At least once a week,Agree a lot,Agree a lot,Every or almost every lesson,Agree a little,Agree a lot,336.37580799999995,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,A few times a year,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,307.432258,1
No,None or very few (0–10 books),Agree a lot,Disagree a little,Never,Agree a lot,Agree a lot,Every or almost every lesson,Disagree a lot,Agree a lot,243.925214,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Disagree a lot,Agree a lot,Some lessons,Disagree a little,Agree a lot,304.697786,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,At least once a week,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,287.35422400000004,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Some lessons,Agree a little,Agree a little,245.503056,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Once or twice a month,Agree a lot,Agree a lot,Some lessons,Agree a little,Disagree a little,299.87619000000007,1
No,None or very few (0–10 books),Disagree a lot,Disagree a lot,At least once a week,Agree a little,Agree a little,Some lessons,Agree a little,Agree a little,243.46059,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a little,About half the lessons,Agree a lot,Agree a lot,361.909484,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Agree a little,Disagree a little,About half the lessons,Agree a little,Agree a little,306.13111200000003,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Disagree a little,Never,Agree a lot,Agree a lot,Some lessons,Agree a little,Agree a lot,306.45866600000005,1
Yes,Enough to fill one shelf (11–25 books),Disagree a little,Disagree a little,Never,Agree a little,Agree a lot,About half the lessons,Disagree a little,Agree a lot,352.71439,1
Yes,Enough to fill one bookcase (26–100 books),Disagree a lot,Disagree a little,Once or twice a month,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,578.473152,4
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Disagree a lot,A few times a year,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,555.286974,4
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Disagree a little,Never,Agree a little,Agree a lot,Some lessons,Agree a little,Agree a lot,551.9045560000001,4
Yes,Enough to fill one bookcase (26–100 books),Agree a little,Disagree a little,A few times a year,Agree a little,Agree a little,About half the lessons,Agree a little,Agree a little,512.698538,3
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Never,Agree a little,Agree a lot,Some lessons,Agree a little,Agree a lot,538.729582,3
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Never,Agree a little,Agree a lot,Some lessons,Agree a lot,Agree a lot,549.2485340000001,3
Yes,Enough to fill one bookcase (26–100 books),Agree a little,Agree a lot,A few times a year,Agree a little,Agree a lot,About half the lessons,Agree a little,Agree a lot,600.9245440000001,4
Yes,Enough to fill one shelf (11–25 books),Disagree a little,Disagree a little,A few times a year,Disagree a little,Agree a little,Some lessons,Disagree a little,Agree a little,408.242422,2
Yes,Enough to fill three or more bookcases (more than 200),Disagree a lot,Agree a little,A few times a year,Disagree a little,Agree a little,Never,Disagree a lot,Disagree a little,514.3770939999999,3
Yes,Enough to fill one shelf (11–25 books),Agree a little,Disagree a lot,Once or twice a month,Agree a little,Agree a lot,Some lessons,Agree a lot,Agree a lot,567.182162,4
Yes,Enough to fill one shelf (11–25 books),Disagree a lot,Disagree a lot,A few times a year,Agree a little,Agree a little,About half the lessons,Disagree a little,Agree a little,465.500574,2
Yes,Enough to fill one bookcase (26–100 books),Disagree a lot,Agree a little,A few times a year,Agree a little,Disagree a little,Every or almost every lesson,Disagree a little,Agree a lot,525.62077,3
Yes,Enough to fill one shelf (11–25 books),Disagree a little,Disagree a lot,Never,Disagree a little,Agree a lot,About half the lessons,Disagree a lot,Disagree a lot,492.44092,3
Yes,Enough to fill three or more bookcases (more than 200),Disagree a lot,Disagree a lot,Never,Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,559.297776,4
Yes,Enough to fill one bookcase (26–100 books),Agree a little,Disagree a lot,Never,Disagree a little,Agree a lot,Every or almost every lesson,Agree a lot,Agree a lot,541.8417499999999,3
Yes,Enough to fill one shelf (11–25 books),Agree a little,Disagree a lot,A few times a year,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,533.8084180000001,3
Yes,Enough to fill three or more bookcases (more than 200),Agree a lot,Disagree a little,At least once a week,Agree a little,Agree a little,Every or almost every lesson,Agree a lot,Agree a little,512.484788,3
Yes,Enough to fill three or more bookcases (more than 200),Agree a lot,Agree a little,A few times a year,Agree a little,Agree a lot,Never,Agree a little,Agree a lot,584.7452139999999,4
Yes,Enough to fill one bookcase (26–100 books),Agree a little,Disagree a little,Never,Disagree a little,Agree a lot,Some lessons,Disagree a lot,Agree a lot,560.447574,4
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Disagree a little,Never,Agree a lot,Agree a little,Every or almost every lesson,Agree a lot,Agree a lot,500.7179,3
Yes,Enough to fill two bookcases (101–200 books),Disagree a lot,Disagree a lot,A few times a year,Agree a lot,Agree a little,Every or almost every lesson,Agree a lot,Agree a lot,464.208568,2
Yes,Enough to fill two bookcases (101–200 books),Disagree a lot,Disagree a little,A few times a year,Disagree a little,Agree a little,About half the lessons,Disagree a lot,Agree a lot,416.360696,2
Yes,None or very few (0–10 books),Agree a little,Disagree a little,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,514.862574,3
Yes,Enough to fill one bookcase (26–100 books),Agree a little,Agree a lot,Never,Agree a lot,Agree a little,Some lessons,Agree a lot,Agree a lot,525.2043540000001,3
Yes,Enough to fill one bookcase (26–100 books),Agree a little,Disagree a lot,Never,Agree a little,Agree a little,About half the lessons,Disagree a little,Agree a lot,449.43468,2
Yes,Enough to fill two bookcases (101–200 books),Agree a lot,Disagree a lot,Never,Agree a little,Agree a lot,Some lessons,Disagree a little,Agree a little,498.082996,3
Yes,Enough to fill one bookcase (26–100 books),Disagree a lot,Disagree a little,Never,Agree a little,Agree a lot,Some lessons,Agree a lot,Agree a lot,593.6830600000001,4
Yes,Enough to fill three or more bookcases (more than 200),Disagree a lot,Agree a little,Never,Disagree a lot,Agree a little,Never,Agree a lot,Agree a lot,537.6284699999999,3
No,None or very few (0–10 books),Disagree a lot,Disagree a lot,At least once a week,Disagree a lot,Disagree a lot,Every or almost every lesson,Disagree a little,Disagree a lot,321.366526,1
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a little,At least once a week,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,431.423994,2
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a little,Agree a lot,Never,Agree a lot,Agree a little,362.473632,1
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Once or twice a month,Agree a lot,Agree a lot,Every or almost every lesson,Disagree a little,Agree a lot,478.099012,3
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,About half the lessons,Agree a little,Agree a lot,431.2596259999999,2
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,412.56657000000007,2
No,None or very few (0–10 books),Agree a lot,Disagree a little,Never,Agree a lot,Agree a little,Some lessons,Agree a little,Agree a lot,300.654522,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,Some lessons,Agree a little,Agree a lot,338.740794,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Every or almost every lesson,Disagree a lot,Disagree a lot,389.875762,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Disagree a little,Agree a little,387.815966,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Every or almost every lesson,Agree a little,Agree a lot,371.181274,1
No,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a little,At least once a week,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,430.193606,2
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a lot,A few times a year,Agree a lot,Agree a lot,About half the lessons,Agree a little,Agree a lot,497.546334,3
No,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,A few times a year,Agree a lot,Agree a lot,About half the lessons,Agree a little,Agree a lot,384.330068,1
No,Enough to fill one shelf (11–25 books),Agree a little,Agree a lot,Never,Agree a little,Agree a little,About half the lessons,Agree a little,Agree a little,378.717586,1
No,None or very few (0–10 books),Agree a little,Agree a little,Never,Agree a little,Agree a lot,Never,Agree a lot,Agree a lot,338.33630000000005,1
No,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,Some lessons,Disagree a lot,Agree a lot,377.6289880000001,1
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Disagree a little,Never,Disagree a lot,Agree a lot,About half the lessons,Disagree a lot,Agree a little,331.94491600000003,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Never,Agree a little,Agree a lot,About half the lessons,Disagree a little,Agree a little,338.47527,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Some lessons,Agree a lot,Agree a lot,338.14785399999994,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Some lessons,Agree a little,Agree a lot,345.02951799999994,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,At least once a week,Agree a lot,Agree a lot,Some lessons,Disagree a little,Agree a lot,431.004468,2
Yes,Enough to fill two bookcases (101–200 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,355.62964,1
No,None or very few (0–10 books),Agree a lot,Agree a little,A few times a year,Agree a little,Agree a little,Some lessons,Disagree a little,Agree a lot,423.885738,2
No,Enough to fill two bookcases (101–200 books),Agree a little,Agree a lot,Never,Agree a little,Agree a lot,Some lessons,Disagree a little,Agree a lot,294.347946,1
Yes,None or very few (0–10 books),Disagree a little,Agree a lot,Never,Disagree a little,Agree a lot,Some lessons,Agree a little,Disagree a little,280.056254,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Once or twice a month,Agree a lot,Agree a lot,About half the lessons,Disagree a little,Agree a lot,388.546244,1
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Disagree a lot,Agree a little,About half the lessons,Agree a little,Agree a lot,360.662636,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Agree a little,Agree a little,About half the lessons,Agree a little,Agree a lot,307.618978,1
No,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,418.73555,2
Yes,Enough to fill two bookcases (101–200 books),Agree a little,Agree a lot,Never,Agree a little,Agree a lot,Never,Disagree a little,Agree a lot,352.27322000000004,1
Yes,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,Never,Agree a lot,Agree a lot,About half the lessons,Agree a little,Agree a lot,500.01758,3
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a little,Every or almost every lesson,Agree a lot,Agree a lot,364.983574,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Once or twice a month,Disagree a lot,Disagree a little,About half the lessons,Agree a little,Agree a little,319.09511800000007,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Disagree a lot,Disagree a lot,Every or almost every lesson,Disagree a lot,Agree a little,403.712484,2
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,443.83922200000006,2
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,A few times a year,Disagree a little,Agree a lot,About half the lessons,Disagree a lot,Disagree a little,392.138078,1
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,A few times a year,Agree a little,Agree a lot,About half the lessons,Agree a little,Agree a lot,438.882984,2
No,None or very few (0–10 books),Agree a lot,Agree a little,A few times a year,Agree a lot,Agree a lot,Never,Disagree a little,Agree a lot,375.169286,1
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,425.880836,2
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,A few times a year,Agree a lot,Agree a little,About half the lessons,Agree a lot,Agree a lot,498.072778,3
No,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a little,A few times a year,Agree a lot,Agree a lot,About half the lessons,Agree a little,Agree a lot,436.8082539999999,2
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a little,Never,Disagree a little,Disagree a little,Some lessons,Disagree a little,Agree a lot,442.825142,2
No,None or very few (0–10 books),Agree a little,Agree a little,Never,Disagree a little,Disagree a lot,About half the lessons,Agree a little,Agree a little,376.14869,1
No,None or very few (0–10 books),Agree a lot,Agree a little,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,465.160166,2
No,None or very few (0–10 books),Agree a lot,Agree a little,Never,Agree a little,Disagree a lot,About half the lessons,Agree a little,Agree a little,378.333122,1
Yes,Enough to fill two bookcases (101–200 books),Disagree a lot,Disagree a lot,At least once a week,Disagree a little,Disagree a lot,Every or almost every lesson,Agree a little,Agree a lot,478.59167,3
