BSBG05D,BSBG04,BSBG13E,BSBG13D,BSBG14A,BSBM16A,BSBM17D,BSBM18C,BSBM20E,BSBM20I,mean_PV,score_category
No,None or very few (0–10 books),Agree a little,Agree a lot,Never,Disagree a little,Disagree a lot,Never,Disagree a lot,Disagree a lot,242.408502,1
Yes,Enough to fill one shelf (11–25 books),Agree a little,Disagree a little,Never,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,405.341386,2
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,464.879992,2
No,Enough to fill one shelf (11–25 books),Agree a little,Agree a little,A few times a year,Agree a lot,Agree a little,About half the lessons,Agree a lot,Agree a lot,502.262072,3
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Disagree a lot,At least once a week,Agree a little,Disagree a lot,About half the lessons,Agree a little,Agree a lot,336.251582,1
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a little,Never,Agree a little,Agree a lot,489.638414,3
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,At least once a week,Agree a little,Agree a lot,About half the lessons,Disagree a little,Agree a lot,351.765872,1
Yes,Enough to fill one bookcase (26–100 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,518.480506,3
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Some lessons,Disagree a little,Agree a lot,350.26546399999995,1
Yes,Enough to fill one shelf (11–25 books),Disagree a little,Agree a little,Never,Agree a lot,Agree a lot,Some lessons,Agree a lot,Agree a lot,416.7148719999999,2
No,None or very few (0–10 books),Agree a lot,Agree a lot,Never,Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,398.514318,1
Yes,None or very few (0–10 books),Agree a lot,Agree a lot,At least once a week,Agree a lot,Agree a lot,About half the lessons,Agree a lot,Agree a lot,396.976852,1
No,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,A few times a year,Agree a lot,Agree a little,Some lessons,Agree a little,Agree a lot,422.860924,2
Yes,Enough to fill one shelf (11–25 books),Agree a lot,Agree a lot,Never,Agree a little,Agree a lot,Every or almost every lesson,Agree a little,Agree a little,346.602606,1
